Expert ID,LabelQuestion,5th percentile,50th percentile,95th percentile,,
1,AEX1,555.83,575.54,586.15,,3
1,AEX2,500.04,550.05,570.05,,3
1,AEX3,530.63,565.67,580.69,,3
1,AEX4,549.26,566.07,577.28,,2
1,AEX5,530,550,560,,3
1,AEX6,540,570,580,,2
1,AEX7,555,560,570,,3
1,AEX8,540.678,568.548,584.613,,4
1,AEX9,543.116,562.513,584.658,,3
1,AEX10,543.2532,562.6551,579.8834,,2
1,AEX11,537.76075,543.22025,551.4095,,2
1,AEX12,532.00875,540.1935,551.1065,,3
1,AEX13,512.7264,528.7491,539.4309,,2
1,AEX14,526.41355,531.75785,541.110375,,2
1,AEX15,520,533,545,,3
1,AEX16,530,555,565,,2
1,AEX17,551.7076,562.7972,568.342,,2
1,AEX18,562.4337,573.7389,579.3915,,2
1,AEX19,572.7432,577.316,583.032,,1
1,AEX20,575.606916,583.08916,597.6078,,4
1,AEX21,587.9907,599.8693,611.7479,,3
1,AEX22,588.91065,594.82935,597.7887,,2
1,AEX23,596.21395,602.20605,608.19815,,2
1,AEX24,597.04975,603.05025,606.0505,,1
1,AEX25,593.88565,599.85435,602.8387,,3
1,AEX26,598.66165,604.67835,607.6867,,2
1,AEX27,597.9353,603.9447,606.9494,,2
1,AEX28,591,600,609,,2
1,AEX29,587.1585,599.0805,602.061,,4
1,AEX30,595.6038,607.6362,610.6443,,2
1,AEX31,596.859725,604.37685,607.3837,,4
1,AEX32,602.90405,610.4973,613.5346,,2
1,AEX33,601.842075,609.42195,612.4539,,2
1,AEX34,602.834575,610.42695,613.4639,,
